Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,70.033447,70.602005,69.698997,69.807693,43.648731,4042600
2012-01-04,69.506691,70.451508,69.489967,70.384613,44.009460,3596850
2012-01-05,69.841141,70.125420,69.147156,70.066887,43.810799,3727214
2012-01-06,70.050163,70.434784,69.665550,69.707359,43.585983,3395683
2012-01-09,69.882942,70.284279,69.615387,70.125420,43.847401,3344734
2012-01-10,70.727425,71.229095,70.267555,70.484947,44.072205,4112326
2012-01-11,69.598663,70.142143,69.464882,70.041809,43.795116,5340499
2012-01-12,70.543480,70.769234,70.033447,70.468224,44.061752,4365280
2012-01-13,70.025085,70.334450,69.456520,69.899666,43.706238,3699108
2012-01-17,70.944817,71.371239,70.342812,70.426422,44.035610,3223100
2012-01-18,70.351173,71.170570,70.250839,71.128761,44.474758,4450436
2012-01-19,71.153847,72.098663,71.003342,71.739128,44.856407,4082785
2012-01-20,71.446487,71.655518,71.036789,71.613708,44.777985,4213030
2012-01-23,71.655518,71.956520,71.329430,71.580269,44.757065,4179781
2012-01-24,71.287628,71.856186,70.760872,71.847824,44.924347,4659138
2012-01-25,71.321068,72.458191,71.070236,72.307693,45.211903,5276752
2012-01-26,73.168900,73.570236,72.742477,73.227425,45.786987,5859084
2012-01-27,72.867889,73.411369,72.466553,73.127090,45.724251,4481651
2012-01-30,72.324417,73.235786,72.257523,73.026756,45.661510,3765486
2012-01-31,73.478264,73.478264,71.730766,72.500000,45.332153,4248312
2012-02-01,73.177261,73.561874,72.934784,73.035118,45.666752,3594578
2012-02-02,72.951508,73.386292,72.792641,73.102005,45.708584,2736448
2012-02-03,73.645485,73.821068,73.135452,73.352844,45.865417,3821818
2012-02-06,72.867889,73.528427,72.867889,73.210701,45.776527,2618403
2012-02-07,73.010033,73.762543,72.483276,73.486626,45.949059,3539084
2012-02-08,73.678932,73.821068,73.311035,73.553513,45.990879,3017269
2012-02-09,73.193977,73.729095,73.127090,73.595322,46.017044,3625794
2012-02-10,72.909698,73.210701,72.533447,72.859535,45.556950,3690497
2012-02-13,73.219063,73.653847,72.876251,73.603676,46.022251,3026598
2012-02-14,73.244148,73.578598,72.926422,73.570236,46.001350,3408959
2012-02-15,73.093643,73.344482,72.533447,72.750839,45.856743,4361812
2012-02-16,72.734116,73.377930,72.709030,73.285950,46.194057,3048365
2012-02-17,73.570236,73.704010,73.143814,73.210701,46.146614,3390182
2012-02-21,73.361206,73.620399,73.076920,73.244148,46.167702,2878413
2012-02-22,73.285950,73.653847,73.118729,73.377930,46.252010,3169400
2012-02-23,73.478264,73.729095,72.968224,73.494980,46.325817,4223435
2012-02-24,73.612038,73.963211,73.478264,73.745819,46.483910,3019661
2012-02-27,73.085281,73.846153,72.826088,73.637123,46.415401,3603428
2012-02-28,73.436455,73.745819,72.934784,73.386292,46.257294,2987249
2012-02-29,73.695648,73.846153,72.951508,73.244148,46.167702,3920129
2012-03-01,73.344482,73.762543,72.884613,73.152176,46.109726,3020139
2012-03-02,73.135452,73.219063,72.775917,73.177261,46.125530,3373318
2012-03-05,73.076920,73.118729,72.224083,72.792641,45.883095,3231472
2012-03-06,71.672241,71.789299,70.928093,71.028427,44.771061,4243288
2012-03-07,71.270905,71.630432,70.969902,71.463211,45.045120,3768357
2012-03-08,71.956520,72.683945,71.889633,72.500000,45.698639,3113427
2012-03-09,72.583611,72.968224,72.449837,72.575249,45.746059,2342127
2012-03-12,72.826088,73.369568,72.709030,73.193977,46.136055,2450963
2012-03-13,73.377930,74.222404,73.168900,74.205688,46.773773,3716092
2012-03-14,74.080269,74.623749,74.080269,74.306023,46.837025,3541236
2012-03-15,74.414719,75.250839,74.264214,75.250839,47.432545,3889631
2012-03-16,75.150505,75.250839,74.724083,74.882942,47.200668,5988492
2012-03-19,74.849495,75.167221,74.581940,75.033447,47.295540,3092138
2012-03-20,74.556854,75.025085,74.205688,74.707359,47.089996,2972419
2012-03-21,74.765884,74.949837,74.247490,74.339462,46.858097,2910825
2012-03-22,73.996658,74.230766,73.344482,74.055183,46.678890,3664783
2012-03-23,74.105354,74.138794,73.595322,73.963211,46.620949,2782016
2012-03-26,74.347824,74.707359,74.080269,74.515053,46.968788,3076710
2012-03-27,74.732445,74.765884,74.356186,74.531776,46.979317,2760846
2012-03-28,74.657188,74.924751,73.612038,73.954849,46.615665,2738362
2012-03-29,73.478264,74.264214,73.344482,74.222404,46.784313,2639692
2012-03-30,74.598663,74.657188,74.214050,74.590302,47.016209,2956273
2012-04-02,74.239128,74.715721,73.620399,74.607025,47.026764,3158516
2012-04-03,74.598663,74.598663,73.745819,74.239128,46.794853,2748886
2012-04-04,73.561874,73.620399,72.867889,73.444817,46.294178,2861669
2012-04-05,73.043480,73.403008,72.717392,72.968224,45.993771,2449886
2012-04-09,72.107025,72.550163,71.822739,72.182274,45.498371,2311509
2012-04-10,72.065216,72.240807,70.602005,70.719063,44.576057,4366596
2012-04-11,71.371239,71.647156,71.170570,71.362877,44.981880,3023129
2012-04-12,71.663879,72.683945,71.137123,72.625420,45.777702,2961296
2012-04-13,72.316055,72.399666,71.546822,71.647156,45.161079,3121201
2012-04-16,71.939796,72.683945,71.839462,72.240807,45.535259,3659999
2012-04-17,72.491638,73.302673,72.458191,73.118729,46.088627,2815623
2012-04-18,72.658859,73.269234,72.483276,72.851173,45.919991,2130794
2012-04-19,72.901337,73.202339,72.015053,72.575249,45.746059,3067740
2012-04-20,72.734116,73.411369,72.667221,73.143814,46.104462,3799931
2012-04-23,72.341141,72.943146,71.923080,72.851173,45.919991,3312800
2012-04-24,74.690636,75.041809,73.896324,73.988297,46.636749,6818635
2012-04-25,74.397995,74.632111,73.996658,74.247490,46.800125,3543628
2012-04-26,74.080269,74.882942,74.005020,74.682274,47.074196,3290076
2012-04-27,74.757523,74.866219,74.205688,74.715721,47.095261,3131128
2012-04-30,74.623749,74.799332,74.180603,74.715721,47.095261,2479188
2012-05-01,74.523415,75.209030,74.197327,74.916389,47.221748,2743863
2012-05-02,74.548492,74.908028,74.322739,74.849495,47.179596,2511839
2012-05-03,74.832779,75.125420,74.506691,74.740807,47.111084,2802946
2012-05-04,74.556854,74.615387,73.829430,74.138794,46.731617,3377265
2012-05-07,73.327759,74.096992,73.327759,73.586960,46.383774,3293186
2012-05-08,72.842812,73.478264,72.157188,73.210701,46.146614,3241638
2012-05-09,72.441475,73.444817,71.889633,72.968224,45.993771,3818589
2012-05-10,72.859535,73.319397,72.642143,72.851173,45.919991,3382886
2012-05-11,72.299332,73.143814,72.107025,72.516724,45.709183,3111753
2012-05-14,71.454849,72.366219,71.270905,71.764214,45.234848,3147752
