,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
CSCO,1.6440572483951836,1.720556562408261,1.7913834226961955,1.8569584438968956,1.9176710519101694,1.9738817965547182,2.025924492740721,2.074108202873642,2.1187190722620306,2.160022028429122,2.1982623544198248,2.2336671454463897,2.2664466575232347,2.2967955560999784,2.324894072107851,2.350909072284815,2.3749950501356683,2.3972950434120657,2.417941483561049,2.437056982186635
BA,4.381311153592772,4.357859884053729,4.335008688971022,4.312742213553193,4.291045495909399,4.269903956995809,4.249303390819262,4.229229954891591,4.209670160928208,4.190610865784688,4.172039262625278,4.153942872317377,4.136309535046224,4.119127402144144,4.1023849281288784,4.086070862945625,4.070174244407601,4.054684390830036,4.039590893852646,4.024883611445763
V,1.4408178665817004,1.480469575436174,1.5184327278080838,1.5547792303838546,1.5895779277245952,1.6228947326658143,1.6547927511641016,1.6853324018272495,1.7145715303542204,1.7425655191017195,1.7693673919849089,1.7950279149109536,1.8195956919356355,1.8431172573251655,1.8656371636975693,1.8871980664105994,1.9078408043560118,1.9276044773132412,1.9465265200089936,1.964642773023032
MRK,1.0605735213372518,1.1387298286339549,1.2075946954435004,1.2682727142077839,1.3217371603286379,1.3688456035049708,1.4103536631504658,1.4469271285287397,1.4791526380129194,1.5075470887649622,1.532565927765972,1.5546104571856296,1.574034271268871,1.5911489279874622,1.606228946429769,1.6195162100868477,1.631223846663565,1.6415396466469172,1.6506290754653823,1.6586379275543401
PG,0.7948398388406142,0.827392186450346,0.8561249216407738,0.8814862283404,0.9038717016776818,0.9236305186215085,0.9410708845738979,0.9564648408729005,0.970052508194935,0.9820458320467279,0.9926318887704397,1.00197580363028,1.0102233264980143,1.017503105313867,1.0239286927851146,1.0296003176235975,1.034606447950581,1.0390251712555318,1.0429254124339276,1.0463680089035026
CAT,2.1490244187783336,2.1764883509915567,2.2030457688207936,2.228726593994732,2.2535597606020796,2.277573247691042,2.3007941107927765,2.3232485124043327,2.344961751465434,2.365958291862302,2.386261789990643,2.4058951214088538,2.424880406611468,2.443239035951891,2.460991693742495,2.4781583815592354,2.4947584407770393,2.510810574361357,2.526332867940431,2.5413428101820257
MCD,0.6595387999096205,0.7218567634617103,0.7769035861678915,0.8255276508408798,0.868478352608767,0.9064176486088152,0.9399302600850603,0.9695326841246715,0.9956811539221417,1.018778670255071,1.0391812125407975,1.0572032251988168,1.0731224638749222,1.0871842762171768,1.099605383179131,1.110577219127809,1.1202688822342797,1.1288297406182992,1.1363917344129768,1.1430714092289378
AMZN,2.38998604332652,2.5753375423356486,2.7408901329946707,2.88875869850632,3.0208322141150674,3.138797878182322,3.244162665624284,3.3382725790509618,3.4223298435337024,3.497408264659085,3.564466946063566,3.6243625416861462,3.6778601992578013,3.7256433348273745,3.7683223631904763,3.8064424957499297,3.8404907054230115,3.870901947570035,3.8980647164147073,3.922326007937827
INTC,2.8195031497421064,2.8229867426582347,2.8264389317369334,2.829860000077011,2.8332502282252015,2.8366098941991718,2.8399392735103186,2.843238639186363,2.8465082617937405,2.8497484094597887,2.8529593478947346,2.856141340413485,2.8592946479572205,2.862419529114793,2.8655162401439305,2.868585034992255,2.871626165318104,2.874639880511171,2.8776264277129533,2.8805860518370228
MMM,1.2320948567189165,1.2349682093825394,1.2378230682223876,1.2406595522706714,1.243477779793471,1.2462778682956683,1.2490599345258457,1.2518240944811545,1.2545704634121504,1.2572991558275994,1.2600102854992525,1.2627039654665893,1.26538030804153,1.26803942481312,1.2706814266521809,1.2733064237159344,1.2759145254525948,1.2785058406059324,1.2810804772198074,1.283638542642675
KO,1.1198816409478531,1.1192999092823985,1.1187299697127824,1.1181715832052155,1.117624515571286,1.1170885373697401,1.1165634238102538,1.1160489546591559,1.1155449141470613,1.1150510908783762,1.1145672777426396,1.1140932718276604,1.1136288743344147,1.11317389049367,1.1127281294842988,1.1122914043532468,1.1118635319371257,1.111444332785393,1.1110336310850903,1.110631254587108
MSFT,1.7968634785871167,1.8941997209911505,1.9803516609903888,2.0566044172332654,2.124095443374835,2.183831495343023,2.2367036490018073,2.283500592228098,2.3249203896787147,2.361580895741133,2.3940289709968123,2.422748639678025,2.4481683098020417,2.4706671636845905,2.4905808141591503,2.508206310875253,2.523806571354175,2.5376143028995726,2.5498354738657465,2.5606523860640604
